Order_ID,Order_Date,Product,Category,City,Quantity,Unit_Price,Sales,Year,Month,Month_Name
1,2025-05-21,Mobile Phone,Electronics,Chennai,2,24957,49914,2025,5,May
2,2025-12-13,Headphones,Accessories,Coimbatore,5,2178,10890,2025,12,Dec
3,2025-01-16,Tablet,Electronics,Chennai,1,17947,17947,2025,1,Jan
4,2025-10-15,Keyboard,Accessories,Chennai,2,2466,4932,2025,10,Oct
5,2025-08-18,Tablet,Electronics,Erode,5,18069,90345,2025,8,Aug
6,2025-12-24,Laptop,Electronics,Tirupur,4,55196,220784,2025,12,Dec
7,2025-04-21,Mouse,Accessories,Tirupur,3,509,1527,2025,4,Apr
8,2025-02-19,Mobile Phone,Electronics,Salem,3,25204,75612,2025,2,Feb
9,2025-08-24,Mouse,Accessories,Chennai,5,555,2775,2025,8,Aug
10,2025-10-10,Tablet,Electronics,Coimbatore,3,18787,56361,2025,10,Oct
11,2025-12-27,Monitor,Electronics,Erode,1,11593,11593,2025,12,Dec
12,2025-02-10,Keyboard,Accessories,Bangalore,2,1206,2412,2025,2,Feb
13,2025-08-21,Tablet,Electronics,Bangalore,3,17833,53499,2025,8,Aug
14,2025-04-18,Monitor,Electronics,Madurai,3,12937,38811,2025,4,Apr
15,2025-10-01,Mobile Phone,Electronics,Tirupur,2,24834,49668,2025,10,Oct
16,2025-05-19,Smart Watch,Accessories,Salem,5,4949,24745,2025,5,May
17,2025-04-28,Monitor,Electronics,Chennai,1,12146,12146,2025,4,Apr
18,2025-02-03,Tablet,Electronics,Bangalore,2,18661,37322,2025,2,Feb
19,2025-12-02,Monitor,Electronics,Erode,4,12310,49240,2025,12,Dec
20,2025-05-16,Smart Watch,Accessories,Tirupur,2,5005,10010,2025,5,May
21,2025-10-26,Mouse,Accessories,Salem,4,1041,4164,2025,10,Oct
22,2025-09-18,Keyboard,Accessories,Tirupur,4,1186,4744,2025,9,Sep
23,2025-03-20,Laptop,Electronics,Coimbatore,2,55893,111786,2025,3,Mar
24,2025-07-17,Tablet,Electronics,Coimbatore,4,18720,74880,2025,7,Jul
25,2025-10-11,Smart Watch,Accessories,Bangalore,1,5893,5893,2025,10,Oct
26,2025-11-25,Mobile Phone,Electronics,Bangalore,3,24728,74184,2025,11,Nov
