Order_ID,Order_Date,Product,Category,City,Quantity,Unit_Price,Sales
1,2025-05-21,Mobile Phone,Electronics,Chennai,2,24957,49914
2,2025-12-13,Headphones,Accessories,Coimbatore,5,2178,10890
3,2025-01-16,Tablet,Electronics,Chennai,1,17947,17947
4,2025-10-15,Keyboard,Accessories,Chennai,2,2466,4932
5,2025-08-18,Tablet,Electronics,Erode,5,18069,90345
6,2025-12-24,Laptop,Electronics,Tirupur,4,55196,220784
7,2025-04-21,Mouse,Accessories,Tirupur,3,509,1527
8,2025-02-19,Mobile Phone,Electronics,Salem,3,25204,75612
9,2025-08-24,Mouse,Accessories,Chennai,5,555,2775
10,2025-10-10,Tablet,Electronics,Coimbatore,3,18787,56361
11,2025-12-27,Monitor,Electronics,Erode,1,11593,11593
12,2025-02-10,Keyboard,Accessories,Bangalore,2,1206,2412
13,2025-08-21,Tablet,Electronics,Bangalore,3,17833,53499
14,2025-04-18,Monitor,Electronics,Madurai,3,12937,38811
15,2025-10-01,Mobile Phone,Electronics,Tirupur,2,24834,49668
16,2025-05-19,Smart Watch,Accessories,Salem,5,4949,24745
17,2025-04-28,Monitor,Electronics,Chennai,1,12146,12146
18,2025-02-03,Tablet,Electronics,Bangalore,2,18661,37322
19,2025-12-02,Monitor,Electronics,Erode,4,12310,49240
20,2025-05-16,Smart Watch,Accessories,Tirupur,2,5005,10010
21,2025-10-26,Mouse,Accessories,Salem,4,1041,4164
22,2025-09-18,Keyboard,Accessories,Tirupur,4,1186,4744
23,2025-03-20,Laptop,Electronics,Coimbatore,2,55893,111786
24,2025-07-17,Tablet,Electronics,Coimbatore,4,18720,74880
25,2025-10-11,Smart Watch,Accessories,Bangalore,1,5893,5893
26,2025-11-25,Mobile Phone,Electronics,Bangalore,3,24728,74184
27,2025-03-22,Mouse,Accessories,Salem,4,306,1224
28,2025-09-17,Mouse,Accessories,Tirupur,1,1580,1580
29,2025-03-20,Mouse,Accessories,Erode,3,630,1890
30,2025-09-08,Laptop,Electronics,Madurai,1,54729,54729
31,2025-05-03,Monitor,Electronics,Bangalore,1,11993,11993
32,2025-09-06,Mobile Phone,Electronics,Coimbatore,1,25590,25590
33,2025-12-04,Headphones,Accessories,Tirupur,4,3125,12500
34,2025-09-28,Headphones,Accessories,Bangalore,5,2866,14330
35,2025-06-09,Keyboard,Accessories,Erode,4,2375,9500
36,2025-09-22,Monitor,Electronics,Trichy,4,11747,46988
37,2025-02-02,Keyboard,Accessories,Erode,3,1043,3129
38,2025-01-04,Keyboard,Accessories,Erode,1,2449,2449
39,2025-02-04,Laptop,Electronics,Erode,1,55176,55176
40,2025-05-23,Mobile Phone,Electronics,Erode,4,24938,99752
41,2025-05-05,Headphones,Accessories,Trichy,4,2833,11332
42,2025-02-19,Keyboard,Accessories,Coimbatore,4,1725,6900
43,2025-08-28,Tablet,Electronics,Salem,1,18879,18879
44,2025-07-26,Mobile Phone,Electronics,Chennai,3,24723,74169
45,2025-04-08,Keyboard,Accessories,Erode,5,1918,9590
46,2025-04-04,Headphones,Accessories,Salem,3,2947,8841
47,2025-08-15,Keyboard,Accessories,Coimbatore,5,1200,6000
48,2025-02-17,Laptop,Electronics,Chennai,2,54840,109680
49,2025-09-04,Tablet,Electronics,Trichy,2,18321,36642
50,2025-07-14,Laptop,Electronics,Tirupur,1,55299,55299
51,2025-05-27,Mouse,Accessories,Trichy,4,1726,6904
52,2025-04-08,Smart Watch,Accessories,Tirupur,3,4945,14835
53,2025-06-10,Laptop,Electronics,Chennai,1,54602,54602
54,2025-01-30,Smart Watch,Accessories,Tirupur,5,4664,23320
55,2025-11-01,Headphones,Accessories,Coimbatore,1,3382,3382
56,2025-03-03,Keyboard,Accessories,Salem,5,1504,7520
57,2025-08-03,Laptop,Electronics,Coimbatore,5,55657,278285
58,2025-04-15,Monitor,Electronics,Bangalore,3,11988,35964
59,2025-03-09,Mouse,Accessories,Salem,3,1236,3708
60,2025-01-05,Monitor,Electronics,Coimbatore,4,12772,51088
61,2025-10-03,Mobile Phone,Electronics,Coimbatore,2,25536,51072
62,2025-06-28,Mouse,Accessories,Tirupur,1,800,800
63,2025-03-22,Monitor,Electronics,Bangalore,4,12612,50448
64,2025-12-08,Mouse,Accessories,Chennai,5,913,4565
65,2025-05-16,Mobile Phone,Electronics,Tirupur,1,24719,24719
66,2025-05-25,Headphones,Accessories,Bangalore,5,2431,12155
67,2025-12-18,Monitor,Electronics,Erode,3,12535,37605
68,2025-01-27,Smart Watch,Accessories,Bangalore,1,5799,5799
69,2025-01-23,Tablet,Electronics,Bangalore,1,18183,18183
70,2025-03-24,Headphones,Accessories,Bangalore,4,3129,12516
71,2025-02-27,Tablet,Electronics,Chennai,1,18915,18915
72,2025-07-09,Headphones,Accessories,Chennai,5,3131,15655
73,2025-03-07,Headphones,Accessories,Salem,1,2631,2631
74,2025-07-03,Monitor,Electronics,Chennai,2,12896,25792
75,2025-07-01,Keyboard,Accessories,Coimbatore,5,1832,9160
76,2025-03-25,Headphones,Accessories,Erode,2,2844,5688
77,2025-06-20,Laptop,Electronics,Tirupur,4,55871,223484
78,2025-03-23,Keyboard,Accessories,Bangalore,1,1783,1783
79,2025-04-24,Laptop,Electronics,Trichy,2,55442,110884
80,2025-04-27,Monitor,Electronics,Bangalore,2,11548,23096
81,2025-06-18,Keyboard,Accessories,Salem,3,1142,3426
82,2025-11-25,Mouse,Accessories,Madurai,5,1118,5590
83,2025-03-01,Monitor,Electronics,Chennai,3,11865,35595
84,2025-02-25,Mouse,Accessories,Chennai,5,1189,5945
85,2025-08-12,Monitor,Electronics,Madurai,5,12547,62735
86,2025-10-23,Mobile Phone,Electronics,Salem,2,25021,50042
87,2025-01-01,Laptop,Electronics,Salem,5,55602,278010
88,2025-08-09,Keyboard,Accessories,Madurai,1,2360,2360
89,2025-12-06,Monitor,Electronics,Madurai,1,12974,12974
90,2025-12-08,Mouse,Accessories,Bangalore,4,968,3872
91,2025-10-11,Tablet,Electronics,Bangalore,2,17892,35784
92,2025-12-13,Tablet,Electronics,Salem,2,18760,37520
93,2025-10-08,Mouse,Accessories,Salem,1,922,922
94,2025-08-09,Mouse,Accessories,Erode,5,1542,7710
95,2025-08-15,Monitor,Electronics,Trichy,4,12883,51532
96,2025-03-28,Keyboard,Accessories,Trichy,1,1581,1581
97,2025-05-01,Monitor,Electronics,Coimbatore,3,11960,35880
98,2025-01-13,Keyboard,Accessories,Tirupur,1,1501,1501
99,2025-08-22,Smart Watch,Accessories,Coimbatore,4,5789,23156
